Store,Brand,Product,Department,Price
Walmart,Store,Milk,Grocery,3.93
Walmart,Name,Milk,Grocery,5
Competitor,Store,Milk,Grocery,3.59
Competitor,Name,Milk,Grocery,6.99
Walmart,Store,Bread,Grocery,0.96
Walmart,Name,Bread,Grocery,2.72
Competitor,Store,Bread,Grocery,1.19
Competitor,Name,Bread,Grocery,2.79
Walmart,Store,Eggs,Grocery,1.77
Walmart,Name,Eggs,Grocery,2.92
Competitor,Store,Eggs,Grocery,1.49
Competitor,Name,Eggs,Grocery,2.79
Walmart,Store,Bananas,Grocery,0.23
Walmart,Name,Bananas,Grocery,1.7
Competitor,Store,Bananas,Grocery,0.25
Competitor,Name,Bananas,Grocery,1.59
Walmart,Store,Apples,Grocery,0.86
Walmart,Name,Apples,Grocery,4.59
Competitor,Store,Apples,Grocery,0.99
Competitor,Name,Apples,Grocery,4.99
Walmart,Store,Bottled Water,Grocery,3.48
Walmart,Name,Bottled Water,Grocery,6.48
Competitor,Store,Bottled Water,Grocery,3.59
Competitor,Name,Bottled Water,Grocery,5.99
Walmart,Store,Cake Mix,Grocery,0.98
Walmart,Name,Cake Mix,Grocery,1.48
Competitor,Store,Cake Mix,Grocery,1.59
Competitor,Name,Cake Mix,Grocery,2.89
Walmart,Store,Pudding,Grocery,1
Walmart,Name,Pudding,Grocery,1.27
Competitor,Store,Pudding,Grocery,1.09
Competitor,Name,Pudding,Grocery,1.39
Walmart,Store,Flour,Grocery,2.12
Walmart,Name,Flour,Grocery,3.64
Competitor,Store,Flour,Grocery,2.29
Competitor,Name,Flour,Grocery,4.69
Walmart,Store,Sugar,Grocery,2.57
Walmart,Name,Sugar,Grocery,3.46
Competitor,Store,Sugar,Grocery,2.69
Competitor,Name,Sugar,Grocery,3.99
Walmart,Store,Deli Meat,Grocery,3.48
Walmart,Name,Deli Meat,Grocery,4
Competitor,Store,Deli Meat,Grocery,3.69
Competitor,Name,Deli Meat,Grocery,4.39
Walmart,Store,Cheese,Grocery,2.48
Walmart,Name,Cheese,Grocery,4.98
